source_path,file_name,file_extension,file_size_bytes,sha256,category,upload_decision,github_path_if_uploaded,reason,formal_main_result_evidence,sensitive_path_status
analyze_wifi7_mlo_adjusted_final_issue_audit.m,analyze_wifi7_mlo_adjusted_final_issue_audit.m,.m,24752,0939e5cd19c6777e4f6e30733660dac1e8741a8fd893ed5dae7de42a76400f1a,formal_adjusted_final_code_evidence,not_uploaded_directly,,MATLAB code evidence is cited in README/manifest; source code is not needed to verify the uploaded CSV values.,false,relative_path_only_no_local_absolute_path
analyze_wifi7_mlo_adjusted_final_plots_and_tables.m,analyze_wifi7_mlo_adjusted_final_plots_and_tables.m,.m,32407,f8ff49bc10fa289421bac5b070bf92d3abe6a0f6cd4e01881bbc4e2c4299c040,formal_adjusted_final_code_evidence,not_uploaded_directly,,MATLAB code evidence is cited in README/manifest; source code is not needed to verify the uploaded CSV values.,false,relative_path_only_no_local_absolute_path
analyze_wifi7_mlo_s2_candidate_ranking_audit.m,analyze_wifi7_mlo_s2_candidate_ranking_audit.m,.m,35658,b6204e87991654267038d44f9582d144450c70061bbd33cb34332ba11c6ce75d,audit_postprocess_or_plot,not_uploaded_or_manifest_only,,Plots/post-processing artifacts are not necessary for numeric verification.,false,relative_path_only_no_local_absolute_path
check_wifi7_mlo_systemlevel_prereq.m,check_wifi7_mlo_systemlevel_prereq.m,.m,32922,d2354fccac5709115602990802d09234c4dedacbc9b22cb8ef9e0116f02801ad,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
check_wlan_wifi7_license_smoke_test.m,check_wlan_wifi7_license_smoke_test.m,.m,25191,dc269e56d5c2508e883846251a311d5f390bfe4a477b95037004738583ed2c79,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
compare_wifi7_mlo_s1_s3_pilots.m,compare_wifi7_mlo_s1_s3_pilots.m,.m,23843,82cd5c687c8e28492e4274bc8d08f99a2662389290e1d53af3b378b492b01e90,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
debug_wifi7_mlo_s2_penalty_wiring_audit.m,debug_wifi7_mlo_s2_penalty_wiring_audit.m,.m,51188,3e64f324f6c5c185d0db1b732bd8322e6e92498fa457b1ea54ed8be627721354,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
debug_wifi7_sl_6g_320_creation_fix_pilot.m,debug_wifi7_sl_6g_320_creation_fix_pilot.m,.m,44639,776e32e4330f78cf87233d4da1c6b46a64ceb0363fe83b9a605dd46e1c88dee5,diagnostic_unsupported_or_unstable,referenced_in_results/wifi7_diagnostics,,Unsupported diagnostic note is documented but not mixed into formal 32 rows.,false,relative_path_only_no_local_absolute_path
debug_wifi7_sl_6g_320_s2_outage_diagnosis_pilot.m,debug_wifi7_sl_6g_320_s2_outage_diagnosis_pilot.m,.m,44244,832e136bcebfd78d335bbf12fe8283077ccb06c90e4ab268ced5ed7adf7cd702,diagnostic_unsupported_or_unstable,referenced_in_results/wifi7_diagnostics,,Unsupported diagnostic note is documented but not mixed into formal 32 rows.,false,relative_path_only_no_local_absolute_path
diagnose_wifi7_mlo_channel_sensitivity.m,diagnose_wifi7_mlo_channel_sensitivity.m,.m,39413,7aaec475885d0b16b27de68e61a3886468c9ea06de927e4028a64e718167be5f,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
results/final_plots_wifi7_adjusted/final_app_loss_heatmap_config_scene.png,final_app_loss_heatmap_config_scene.png,.png,111902,c0b6cf337f94f55c6062ae5999fb3e193ef2ada7014cd5c579dae3136534e3be,audit_postprocess_or_plot,not_uploaded_or_manifest_only,,Plots/post-processing artifacts are not necessary for numeric verification.,false,relative_path_only_no_local_absolute_path
results/final_plots_wifi7_adjusted/final_mlo_vs_sl_average_throughput.png,final_mlo_vs_sl_average_throughput.png,.png,45616,75c45a76b9f207782dbf024d7657956b264ad78011435391fd96b49aae99af3d,audit_postprocess_or_plot,not_uploaded_or_manifest_only,,Plots/post-processing artifacts are not necessary for numeric verification.,false,relative_path_only_no_local_absolute_path
results/final_plots_wifi7_adjusted/final_scene_degradation_trend.png,final_scene_degradation_trend.png,.png,65064,48febffcffb9ab6f7fa8e969af5b2cc054d6e04e56170e702239c7ef35ae5fa6,audit_postprocess_or_plot,not_uploaded_or_manifest_only,,Plots/post-processing artifacts are not necessary for numeric verification.,false,relative_path_only_no_local_absolute_path
results/final_plots_wifi7_adjusted/final_throughput_by_config_bar.png,final_throughput_by_config_bar.png,.png,82107,b5c0a105965313be78b04a52157de5ef413bdf3b4f6a5231bb8d51ed35522154,audit_postprocess_or_plot,not_uploaded_or_manifest_only,,Plots/post-processing artifacts are not necessary for numeric verification.,false,relative_path_only_no_local_absolute_path
results/final_plots_wifi7_adjusted/final_throughput_by_scene_bar.png,final_throughput_by_scene_bar.png,.png,86191,73b54157d05ca1c06bfff4c319d19570458401c8fc9122d29277c576572a4edf,audit_postprocess_or_plot,not_uploaded_or_manifest_only,,Plots/post-processing artifacts are not necessary for numeric verification.,false,relative_path_only_no_local_absolute_path
results/final_plots_wifi7_adjusted/final_throughput_heatmap_config_scene.png,final_throughput_heatmap_config_scene.png,.png,120333,b38106c5bd840b742b7bdb3efb9256b2b8780d40365f45c430b51e03f26950d0,audit_postprocess_or_plot,not_uploaded_or_manifest_only,,Plots/post-processing artifacts are not necessary for numeric verification.,false,relative_path_only_no_local_absolute_path
results/final_plots_wifi7_adjusted/final_unsupported_sl6320_note.png,final_unsupported_sl6320_note.png,.png,124005,eef8ebc76fbcee34ff23cffd6b47a2c549767c8004fce0cabf9f9c1f24f1e065,diagnostic_unsupported_or_unstable,referenced_in_results/wifi7_diagnostics,,Unsupported diagnostic note is documented but not mixed into formal 32 rows.,false,relative_path_only_no_local_absolute_path
results/final_plots_wifi7_adjusted/final_warning_cases_sl6160.png,final_warning_cases_sl6160.png,.png,78512,550f8678c8b4b05714ecd4a4b4e3a27bc03d8e9d444a19f139457600c59fdc96,audit_postprocess_or_plot,not_uploaded_or_manifest_only,,Plots/post-processing artifacts are not necessary for numeric verification.,false,relative_path_only_no_local_absolute_path
results/minimal_wifi7_mlo_systemlevel_smoke_test_report.csv,minimal_wifi7_mlo_systemlevel_smoke_test_report.csv,.csv,5963,572a30c48992d369f70a0c998f7c544c68833303bb0291fd9efa4af7d21c646d,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
results/minimal_wifi7_mlo_systemlevel_smoke_test_report_cn.txt,minimal_wifi7_mlo_systemlevel_smoke_test_report_cn.txt,.txt,4501,2c4beee19b54b35ca536136b30c590d6a5c7060180b6dd280ab759060afc9b00,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
results/wifi7_mlo_9config_integrity_check_pilot_channel_map.csv,wifi7_mlo_9config_integrity_check_pilot_channel_map.csv,.csv,3141,5ce4bfd4775fcdd22969f86b313e5c606c34c13e916a3d4e1cb936de2208fda8,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
results/wifi7_mlo_9config_integrity_check_pilot_issue_log.csv,wifi7_mlo_9config_integrity_check_pilot_issue_log.csv,.csv,6564,6bd4237ea0d5aeadb85c0e2f9976180d4282fc5cc39ea19e0c5c1a17e6591ad7,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
results/wifi7_mlo_9config_integrity_check_pilot_log.txt,wifi7_mlo_9config_integrity_check_pilot_log.txt,.txt,17866,d410c9e8552b89d2ea2a5cce2dca7e182fd52c158963ec61ce70c6e9508b7804,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
results/wifi7_mlo_9config_integrity_check_pilot_raw.csv,wifi7_mlo_9config_integrity_check_pilot_raw.csv,.csv,12849,8a3b3600a35fff2973cdde80fba5d9492c95168c994f2b3d16a395447201c9ef,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
results/wifi7_mlo_9config_integrity_check_pilot_report_cn.md,wifi7_mlo_9config_integrity_check_pilot_report_cn.md,.md,6745,181af8833cc255e315406b5c2ac22f4eedae88df479e90d4338dc3e5be1d12d1,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
results/wifi7_mlo_9config_integrity_check_pilot_summary_by_config.csv,wifi7_mlo_9config_integrity_check_pilot_summary_by_config.csv,.csv,4084,b58f8127ccfefb671d7baf23f327ba76df0ca95841e0fe9b46229b5c1ec17b7d,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_8config_integrity_check_pilot_channel_map.csv,wifi7_mlo_adjusted_8config_integrity_check_pilot_channel_map.csv,.csv,1663,835af6d95e8e44a76c3fd5387b110e852e2b8b2873fbfc035e0e290e51f993d2,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_8config_integrity_check_pilot_issue_log.csv,wifi7_mlo_adjusted_8config_integrity_check_pilot_issue_log.csv,.csv,248,d92b15fcd3a6911ea9d2e6a875a0f07654da10858fee517ae5e267979e8ee57e,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_8config_integrity_check_pilot_log.txt,wifi7_mlo_adjusted_8config_integrity_check_pilot_log.txt,.txt,13117,669278d27554d965315586ede2dc8ad58ec9663e919edebc526e86a4a57ccbda,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_8config_integrity_check_pilot_raw.csv,wifi7_mlo_adjusted_8config_integrity_check_pilot_raw.csv,.csv,8855,b881e0e1bd74ad58d31a814db3ce4cf1fe6c318cd800ab882a0983f3159393de,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_8config_integrity_check_pilot_report_cn.md,wifi7_mlo_adjusted_8config_integrity_check_pilot_report_cn.md,.md,6742,56d39a9083699fae666ad937803f0282760fd1f763472cccbc96a49e4b095a5b,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_8config_integrity_check_pilot_summary_by_config.csv,wifi7_mlo_adjusted_8config_integrity_check_pilot_summary_by_config.csv,.csv,2527,a818bb966d3ce797b9a9ff1898f7807e829313d17583ec8e65b719fa61352da5,pilot_test_or_environment_check,not_uploaded_or_manifest_only,,Pilot/test/environment files are identified but excluded from formal results.,false,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_8config_integrity_check_pilot_unsupported_config_note.csv,wifi7_mlo_adjusted_8config_integrity_check_pilot_unsupported_config_note.csv,.csv,901,1b6d4ee9016f58cce71b0cdfd71a200778aa6edfb1b257b62b739dc8bd2f330e,diagnostic_unsupported_or_unstable,referenced_in_results/wifi7_diagnostics,,Unsupported diagnostic note is documented but not mixed into formal 32 rows.,false,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_final_experiment_channel_map.csv,wifi7_mlo_adjusted_final_experiment_channel_map.csv,.csv,1663,835af6d95e8e44a76c3fd5387b110e852e2b8b2873fbfc035e0e290e51f993d2,formal_adjusted_final_evidence,summarized_or_referenced_in_results/wifi7_adjusted_final,,"Formal evidence is represented through normalized CSV, validation, audit, manifest, and README.",true,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_final_experiment_issue_log.csv,wifi7_mlo_adjusted_final_experiment_issue_log.csv,.csv,1581,8262d717bf0ce4d1b39412d91320bb572fea218d8115d4eb016a57ee14529861,formal_adjusted_final_evidence,summarized_or_referenced_in_results/wifi7_adjusted_final,,"Formal evidence is represented through normalized CSV, validation, audit, manifest, and README.",true,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_final_experiment_log.txt,wifi7_mlo_adjusted_final_experiment_log.txt,.txt,69312,abb4f0319eea641c62e863b5d2130fd7ca36f6dfbca10d73ef6c45f98e913b0b,formal_adjusted_final_evidence,summarized_or_referenced_in_results/wifi7_adjusted_final,,"Formal evidence is represented through normalized CSV, validation, audit, manifest, and README.",true,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_final_experiment_raw.csv,wifi7_mlo_adjusted_final_experiment_raw.csv,.csv,47294,4366b5aa9437b314bf84a107be1622e97e837bd5e58213867d5bd4bfdd6cc543,formal_adjusted_final_evidence,normalized_into_results/wifi7_adjusted_final/wifi7_adjusted_final_96raw.csv,results/wifi7_adjusted_final/wifi7_adjusted_final_96raw.csv,Formal raw values are exported with source row numbers and unit annotations.,true,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_final_experiment_report_cn.md,wifi7_mlo_adjusted_final_experiment_report_cn.md,.md,12909,9d56604ff3b307c6e28a122cd43f1642c403277e8a5944f762428f65d6569bba,other_wifi7_related,not_uploaded_or_manifest_only,,Related Wi-Fi 7 file; not part of formal adjusted 96/32 evidence upload.,false,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_final_experiment_summary_by_config.csv,wifi7_mlo_adjusted_final_experiment_summary_by_config.csv,.csv,3052,cb2fd4d4f08ceb1629aeae96920f60cedb6bc9d9d2287f07ef8468b073c0cc95,formal_adjusted_final_evidence,summarized_or_referenced_in_results/wifi7_adjusted_final,,"Formal evidence is represented through normalized CSV, validation, audit, manifest, and README.",true,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_final_experiment_summary_by_config_scene.csv,wifi7_mlo_adjusted_final_experiment_summary_by_config_scene.csv,.csv,13578,551440b130144a136faade53abac155ea46d5fea8fc98f2c7c4dce0eba22e8d7,formal_adjusted_final_evidence,summarized_or_referenced_in_results/wifi7_adjusted_final,,"Formal evidence is represented through normalized CSV, validation, audit, manifest, and README.",true,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_final_experiment_summary_by_scene.csv,wifi7_mlo_adjusted_final_experiment_summary_by_scene.csv,.csv,1156,a01b0324fdf4c4a6576bb87db9ce116909773f426ba2dab4f813367ee4864410,formal_adjusted_final_evidence,summarized_or_referenced_in_results/wifi7_adjusted_final,,"Formal evidence is represented through normalized CSV, validation, audit, manifest, and README.",true,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_final_experiment_unsupported_config_note.csv,wifi7_mlo_adjusted_final_experiment_unsupported_config_note.csv,.csv,885,5babcacdb7838ef1dc995e1c56290c9a49ba1672a7fb879280ad95ce5999536b,diagnostic_unsupported_or_unstable,referenced_in_results/wifi7_diagnostics,,Unsupported diagnostic note is documented but not mixed into formal 32 rows.,false,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_final_issue_audit_log.txt,wifi7_mlo_adjusted_final_issue_audit_log.txt,.txt,752,61c899d14c3491862e0dff128d4292235ef383abd41ac662377b9caf60e6f739,audit_postprocess_or_plot,not_uploaded_or_manifest_only,,Plots/post-processing artifacts are not necessary for numeric verification.,false,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_final_issue_audit_report_cn.md,wifi7_mlo_adjusted_final_issue_audit_report_cn.md,.md,5517,db726100c541c75cb800774afde63a1b9e90cd157ed6f3ee2e8235ac9f780f5d,audit_postprocess_or_plot,not_uploaded_or_manifest_only,,Plots/post-processing artifacts are not necessary for numeric verification.,false,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_final_issue_audit_sl6160.csv,wifi7_mlo_adjusted_final_issue_audit_sl6160.csv,.csv,3236,33ac2aaf34bea14ddbbebfed006f5184a19a5da0bcc54c221ac09a874b815785,formal_adjusted_final_evidence,summarized_or_referenced_in_results/wifi7_adjusted_final,,"Formal evidence is represented through normalized CSV, validation, audit, manifest, and README.",true,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_final_issue_audit_summary.csv,wifi7_mlo_adjusted_final_issue_audit_summary.csv,.csv,1485,5487fcbe8eedbfe9186d3ef1b1611b8b609d6a6c0c03c61b3cdd09c4410dbd14,formal_adjusted_final_evidence,summarized_or_referenced_in_results/wifi7_adjusted_final,,"Formal evidence is represented through normalized CSV, validation, audit, manifest, and README.",true,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_final_plots_and_tables_log.txt,wifi7_mlo_adjusted_final_plots_and_tables_log.txt,.txt,1345,4b89f88a1d0c9065279c1fb05608ba9b9c378df9630d8041445975bcdb6061d6,audit_postprocess_or_plot,not_uploaded_or_manifest_only,,Plots/post-processing artifacts are not necessary for numeric verification.,false,relative_path_only_no_local_absolute_path
results/wifi7_mlo_adjusted_final_plots_report_cn.md,wifi7_mlo_adjusted_final_plots_report_cn.md,.md,2584,b4318efbe3d11c3375bf46e476350279c66ebed3b000db5ed029e55ec6e41e77,audit_postprocess_or_plot,not_uploaded_or_manifest_only,,Plots/post-processing artifacts are not necessary for numeric verification.,false,relative_path_only_no_local_absolute_path
